sample_id,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,status,cell_type,condition
GSM3525709,-113.3886574283799,112.82419954224247,21.136307976818546,-14.98782210066878,0.35568449073764496,2.707129862105964,-0.7267628095664465,-4.970000217701882,mut,iPSC,basal
GSM3525710,-112.86628024965664,114.65108834967786,22.438523286852348,-14.318848160030054,-0.4573334749071688,1.3654474414277389,0.049914981878200676,-3.602495113739006,mut,iPSC,basal
GSM3525711,-108.47557940205904,118.71820752341597,24.72507824973863,-14.035725128320266,-0.4253062016706994,-0.44338451533455314,-1.020438049561369,3.89497272084506,GC,iPSC,basal
GSM3525712,-109.34433667892246,114.54758530971438,25.68253478020219,-16.786588570439033,-0.4199044732586121,1.0615236413856801,1.6115732121551054,2.4204339925720175,GC,iPSC,basal
GSM3525713,83.40415138372718,35.90541872705531,-28.646985230432,30.17580607823905,16.355961142656334,-0.16717842191294804,14.22404204624733,28.660928730189518,mut,MSC,Ctrl
GSM3525714,83.26228171658944,34.71313245428129,-27.925947815234302,29.120489847960304,15.717077639007075,0.6388221543512607,15.002455624681906,28.242659804342853,mut,MSC,Ctrl
GSM3525715,84.01372692422156,34.63847920006845,-29.18292123100916,29.13221860222266,-0.6067468587755733,3.656825093464509,23.95673726144724,2.5265714967290838,GC,MSC,Ctrl
GSM3525716,84.452602498875,34.47679668405415,-29.4139781372819,27.807472450206546,-1.5709523516098907,3.381585948084487,23.942428338125584,2.5311709725938303,GC,MSC,Ctrl
GSM3525717,78.24146857750443,-24.74767569688529,70.98753211961701,11.960414556210981,19.92026277700128,29.15577008471104,-22.706323045084392,2.0358080082841097,mut,MSC,UV
GSM3525718,79.0722661494422,-22.564502330676135,66.55625173955103,11.602887003658196,20.923708444302676,29.40079047137107,-23.54723467725933,3.5822559076363154,mut,MSC,UV
GSM3525719,81.27986099210675,-6.955625607358332,51.591100777418184,28.000028240153263,-5.5368039889459695,3.170357229779875,11.69517383060748,-32.67289048997362,GC,MSC,UV
GSM3525720,79.95076192763365,-4.602086701747809,48.566089256538206,30.8392348091855,-6.612911289311157,-0.8294223588407516,14.38396719182237,-32.00420092607376,GC,MSC,UV
GSM3525721,108.60393043042866,-2.913440740375751,-21.09133738272388,-65.9674712049433,36.419796060225245,-29.074392512861735,-9.13125891560708,-6.540265508060426,mut,MSC,RS
GSM3525722,108.77439916117923,-3.7162663833263685,-20.803838951982183,-66.58425591744748,36.425446252649756,-28.167382984468297,-8.644051206391119,-6.303634307442921,mut,MSC,RS
GSM3525723,97.86929288991504,13.578693026379272,-38.5589021065847,-27.677171586718863,-56.58704236189657,5.424258156014004,-14.54819256348691,-0.501391550254932,GC,MSC,RS
GSM3525724,94.07169153335295,20.433561557981477,-43.753015905434154,-15.146105877107772,-67.31632699401362,1.5341622928225331,-25.659230220884957,3.481559848891355,GC,MSC,RS
GSM3525725,-81.44334008013041,-102.20265428507676,-44.053081153249195,-63.51615049124297,2.5221648551022278,46.01251372873001,27.354812095612676,-2.751520569075972,mut,NSC,Ctrl
GSM3525726,-92.01358360403671,-52.71624842151338,-65.89209096704182,11.797260101281998,8.72749810326849,11.7208337585001,-2.936954702291048,-2.445793348562982,mut,NSC,Ctrl
GSM3525727,-95.20198126862188,-34.694654823265175,-74.8829140328077,40.2218293913776,17.103388887033443,-1.7891085474867072,-18.319719374092273,-13.013424887895312,GC,NSC,Ctrl
GSM3525728,-96.03878107682313,-38.23390647070983,-77.66072784225804,38.73510140510185,14.649740984113404,-0.8476346809739728,-21.628355318303818,-12.768977431948459,GC,NSC,Ctrl
GSM3525729,-63.58642525813265,-84.7591934232711,55.23216419581884,11.537157471482097,-4.062156577988771,-12.699281578426218,-14.927600608630543,18.086494545870423,mut,NSC,UV
GSM3525730,-59.763063530591396,-96.07586544850568,58.384433285911534,-7.596985930727765,-9.799114619938376,-4.452796043030736,-10.79381123258466,20.885097556049512,mut,NSC,UV
GSM3525731,-70.16548502439785,-57.14802705265962,19.364156074104447,40.02192536277378,-16.628280026830655,-48.414759315146185,6.30711299695201,0.346477268068742,GC,NSC,UV
GSM3525732,-60.70892058322424,-103.15701498949942,37.20156901346805,-34.33470035220743,-19.097850416950546,-12.34467890426615,36.061715144214,0.8801634986563708,GC,NSC,UV
