sample_id,soma_contagens,genes_nao_zero
GSM3525709,18493060,26072
GSM3525710,34887776,27809
GSM3525711,23720729,26893
GSM3525712,19264198,25945
GSM3525713,20302159,23152
GSM3525714,25818020,23583
GSM3525715,19957170,23159
GSM3525716,24388268,23387
GSM3525717,27864126,25517
GSM3525718,32581147,26434
GSM3525719,15444025,22822
GSM3525720,19407819,23330
GSM3525721,25025940,21818
GSM3525722,33913932,22559
GSM3525723,25281428,22334
GSM3525724,24607516,22176
GSM3525725,22458163,23498
GSM3525726,21402968,24581
GSM3525727,24964123,24960
GSM3525728,17771725,24038
GSM3525729,20229666,25811
GSM3525730,18164436,25077
GSM3525731,22304409,25415
GSM3525732,26786832,24309
